StartTime	2015/09/27 12:42:00
FinishTime	2015/09/27 12:43:12
ElapsedTime	72.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150927122622_10Setting_20150927122623.log
0	1.000000
1	0.937500	0.062500
2	0.041667	0.916667	0.041667
3	0.041667	0.041667	0.916667
4	0.062500	0.937500
5	0.062500	0.937500
6	0.062500	0.937500
5626
0	2	1	0.000000
1	2	1	0.000000
2	2	1	0.000000
3	2	1	0.000000
4	2	1	0.000000
5	2	1	0.000000
6	2	1	0.000000
7	2	1	0.000000
8	2	1	0.000000
9	2	1	0.000000
10	2	1	0.000000
11	2	1	0.000000
12	2	1	0.000000
13	2	2	0.000000
14	2	1	0.000000
15	2	1	0.000000
16	2	2	0.000000
17	2	1	0.000000
18	2	1	0.000000
19	2	1	0.000000
20	2	1	0.000000
21	2	1	0.000000
22	2	0	0.000000
23	2	1	0.000000
24	2	0	0.000000
25	2	1	0.000000
26	2	1	0.000000
27	2	1	0.000000
28	2	1	0.000000
29	2	1	0.000000
30	2	1	0.000000
31	2	0	0.000000
32	3	2	0.000000
33	3	2	0.000000
34	3	2	0.000000
35	3	2	0.000000
36	3	2	0.000000
37	3	2	0.000000
38	3	2	0.000000
39	3	0	0.000000
40	3	2	0.000000
41	3	2	0.000000
42	3	2	0.000000
43	3	2	0.000000
44	3	2	0.000000
45	3	2	0.000000
46	3	2	0.000000
47	3	2	0.000000
48	3	2	0.000000
49	2	1	0.000000
50	2	1	0.000000
51	2	1	0.000000
52	2	1	0.000000
53	2	1	0.000000
54	2	1	0.000000
55	2	1	0.000000
56	2	1	0.000000
57	2	1	0.000000
58	2	1	0.000000
59	2	1	0.000000
60	2	1	0.000000
61	2	1	0.000000
62	1	0	0.000000
63	1	0	0.000000
64	2	1	0.000000
65	1	0	0.000000
66	1	1	0.000000
67	1	1	0.000000
68	1	0	0.000000
69	1	0	0.000000
70	2	1	0.000000
71	2	1	0.000000
72	1	0	0.000000
73	2	1	0.000000
74	2	1	0.000000
75	2	1	0.000000
76	2	1	0.000000
77	2	1	0.000000
78	2	1	0.000000
79	3	2	0.000000
80	3	2	0.000000
81	3	2	0.000000
82	3	2	0.000000
83	2	1	0.000000
84	2	1	0.000000
85	2	1	0.000000
86	2	1	0.000000
87	2	1	0.000000
88	1	0	0.000000
89	1	0	0.000000
90	1	0	0.000000
91	1	0	0.000000
92	1	0	0.000000
93	1	0	0.000000
94	1	0	0.000000
95	1	0	0.000000
96	1	0	0.000000
97	2	1	0.000000
98	2	1	0.000000
99	2	1	0.000000
100	2	1	0.000000
101	2	1	0.000000
102	2	1	0.000000
103	2	1	0.000000
104	2	0	0.000000
105	2	1	0.000000
106	2	1	0.000000
107	2	1	0.000000
