StartTime	2015/09/24 00:39:13
FinishTime	2015/09/24 00:41:17
ElapsedTime	124.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150923232525_10Setting_20150923232526.log
0	1.000000
1	0.062500	0.937500
2	0.916667	0.041667	0.041667
3	0.041667	0.041667	0.916667
4	0.062500	0.937500
5	0.937500	0.062500
6	0.937500	0.062500
5609
0	2	0	0.000000
1	2	0	0.000000
2	2	0	0.000000
3	2	0	0.000000
4	2	0	0.000000
5	2	0	0.000000
6	2	0	0.000000
7	2	0	0.000000
8	2	0	0.000000
9	2	0	0.000000
10	3	2	0.000000
11	3	2	0.000000
12	3	2	0.000000
13	3	2	0.000000
14	3	2	0.000000
15	3	0	0.000000
16	3	2	0.000000
17	3	2	0.000000
18	3	2	0.000000
19	3	2	0.000000
20	3	2	0.000000
21	3	2	0.000000
22	3	2	0.000000
23	3	2	0.000000
24	3	2	0.000000
25	3	2	0.000000
26	3	2	0.000000
27	3	2	0.000000
28	3	2	0.000000
29	2	0	0.000000
30	2	0	0.000000
31	2	0	0.000000
32	2	0	0.000000
33	2	1	0.000000
34	2	0	0.000000
35	2	0	0.000000
36	2	0	0.000000
37	2	0	0.000000
38	2	0	0.000000
39	3	2	0.000000
40	3	2	0.000000
41	4	1	0.000000
42	4	1	0.000000
43	3	2	0.000000
44	3	2	0.000000
45	3	2	0.000000
46	3	2	0.000000
47	3	2	0.000000
48	3	2	0.000000
49	3	2	0.000000
50	2	0	0.000000
51	2	0	0.000000
52	2	0	0.000000
53	2	0	0.000000
54	2	0	0.000000
55	2	0	0.000000
56	2	0	0.000000
57	2	0	0.000000
58	2	0	0.000000
59	3	2	0.000000
60	3	2	0.000000
61	3	2	0.000000
62	3	2	0.000000
63	3	2	0.000000
64	3	2	0.000000
65	3	2	0.000000
66	3	2	0.000000
67	3	2	0.000000
68	2	0	0.000000
69	2	0	0.000000
70	2	0	0.000000
71	2	0	0.000000
72	2	0	0.000000
73	2	0	0.000000
74	2	0	0.000000
75	2	0	0.000000
76	2	0	0.000000
77	2	0	0.000000
78	2	0	0.000000
79	3	0	0.000000
80	3	2	0.000000
81	3	2	0.000000
82	3	2	0.000000
83	4	1	0.000000
84	4	1	0.000000
85	4	1	0.000000
86	4	1	0.000000
87	4	1	0.000000
88	4	1	0.000000
89	4	1	0.000000
90	3	2	0.000000
91	3	2	0.000000
92	2	0	0.000000
93	2	0	0.000000
94	2	0	0.000000
95	2	0	0.000000
96	2	0	0.000000
97	2	0	0.000000
98	2	0	0.000000
99	2	0	0.000000
100	2	0	0.000000
101	2	0	0.000000
102	2	0	0.000000
103	2	0	0.000000
104	2	0	0.000000
105	2	0	0.000000
106	2	0	0.000000
107	3	2	0.000000
108	3	2	0.000000
109	3	2	0.000000
