StartTime	2015/09/23 13:46:28
FinishTime	2015/09/23 13:46:34
ElapsedTime	6.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150923134031_10Setting_20150923134032.log
0	1.000000
1	0.062500	0.937500
2	0.937500	0.062500
3	0.937500	0.062500
4	0.062500	0.937500
5	0.937500	0.062500
6	0.062500	0.937500
7	0.062500	0.937500
8	0.062500	0.937500
9	0.062500	0.937500
326
0	3	0	0.000000
1	3	0	0.000000
2	3	0	0.000000
3	3	0	0.000000
4	3	1	0.000000
5	3	0	0.000000
6	3	0	0.000000
7	3	0	0.000000
8	3	0	0.000000
9	3	0	0.000000
10	3	0	0.000000
11	3	0	0.000000
12	3	0	0.000000
13	3	0	0.000000
14	3	0	0.000000
15	3	0	0.000000
16	3	0	0.000000
17	3	0	0.000000
18	3	0	0.000000
19	3	0	0.000000
20	3	0	0.000000
21	3	0	0.000000
22	3	1	0.000000
23	3	0	0.000000
24	4	1	0.000000
25	4	1	0.000000
26	4	1	0.000000
27	4	1	0.000000
28	4	1	0.000000
29	4	1	0.000000
30	4	1	0.000000
31	4	1	0.000000
32	4	1	0.000000
33	4	1	0.000000
34	4	1	0.000000
35	4	1	0.000000
36	4	1	0.000000
37	4	1	0.000000
38	4	1	0.000000
39	4	1	0.000000
40	4	1	0.000000
41	4	1	0.000000
42	4	1	0.000000
43	4	1	0.000000
44	4	1	0.000000
45	4	1	0.000000
46	4	1	0.000000
47	4	0	0.000000
48	4	1	0.000000
49	4	1	0.000000
50	4	1	0.000000
51	3	0	0.000000
52	3	0	0.000000
53	3	0	0.000000
54	3	0	0.000000
55	4	1	0.000000
56	4	1	0.000000
57	4	1	0.000000
58	4	1	0.000000
59	4	1	0.000000
60	4	1	0.000000
61	4	1	0.000000
62	4	1	0.000000
63	4	1	0.000000
64	3	0	0.000000
65	3	0	0.000000
66	3	0	0.000000
67	3	0	0.000000
68	3	0	0.000000
69	3	0	0.000000
70	3	0	0.000000
71	3	0	0.000000
72	3	0	0.000000
73	3	0	0.000000
74	3	0	0.000000
75	3	0	0.000000
76	3	0	0.000000
77	3	0	0.000000
78	3	0	0.000000
79	3	0	0.000000
80	3	0	0.000000
81	3	0	0.000000
82	3	0	0.000000
83	3	0	0.000000
84	3	0	0.000000
85	3	0	0.000000
86	3	0	0.000000
87	3	0	0.000000
88	3	0	0.000000
89	3	0	0.000000
90	3	0	0.000000
91	3	0	0.000000
92	3	0	0.000000
93	3	0	0.000000
94	3	0	0.000000
95	3	0	0.000000
96	3	0	0.000000
97	3	0	0.000000
98	3	1	0.000000
99	3	0	0.000000
100	3	0	0.000000
101	3	0	0.000000
102	3	0	0.000000
103	3	0	0.000000
104	3	0	0.000000
105	3	1	0.000000
106	3	0	0.000000
107	3	1	0.000000
108	3	1	0.000000
109	3	0	0.000000
110	3	0	0.000000
111	3	0	0.000000
112	3	0	0.000000
113	3	0	0.000000
114	3	0	0.000000
115	3	0	0.000000
116	3	0	0.000000
117	3	0	0.000000
118	3	0	0.000000
119	3	0	0.000000
120	3	0	0.000000
121	3	0	0.000000
122	3	0	0.000000
123	3	0	0.000000
124	3	0	0.000000
125	3	0	0.000000
126	3	0	0.000000
127	3	0	0.000000
128	3	0	0.000000
129	3	0	0.000000
130	3	1	0.000000
131	3	0	0.000000
132	3	0	0.000000
133	3	0	0.000000
134	3	0	0.000000
135	3	0	0.000000
136	3	0	0.000000
137	3	0	0.000000
138	3	0	0.000000
139	3	0	0.000000
140	3	0	0.000000
141	3	0	0.000000
142	3	0	0.000000
143	3	0	0.000000
144	3	0	0.000000
145	3	0	0.000000
146	3	0	0.000000
147	3	0	0.000000
148	3	0	0.000000
149	3	0	0.000000
150	3	0	0.000000
151	3	0	0.000000
152	3	0	0.000000
153	3	0	0.000000
154	3	0	0.000000
155	3	0	0.000000
156	3	0	0.000000
157	3	0	0.000000
158	3	0	0.000000
159	3	0	0.000000
160	3	0	0.000000
161	3	0	0.000000
162	3	0	0.000000
163	3	0	0.000000
164	3	0	0.000000
165	3	0	0.000000
166	3	0	0.000000
167	3	1	0.000000
168	3	0	0.000000
169	3	0	0.000000
170	3	0	0.000000
171	3	0	0.000000
172	3	0	0.000000
173	3	0	0.000000
174	3	0	0.000000
175	3	0	0.000000
176	3	1	0.000000
